date (t),SOX_Close (t-1),S_P500_Close (t-1),Dow Jones_Close (t-1),NASDAQ_Close (t-1),Bitcoin_Change% (t-1),total_net_tsmc (t-1),TAIEX (t)
2014/12/26,696.349976,4773.470215,18030.21,4773.470215,-0.0383,2288000,1
2014/12/29,697,4806.859863,18053.71,4806.859863,0.0345,6570000,1
2014/12/30,695.080017,4806.910156,18038.23,4806.910156,-0.0076,21133418,0
2014/12/31,690.98999,4777.439941,17983.07,4777.439941,-0.0091,2936973,1
2015/1/5,686.869995,4736.049805,17823.07,4736.049805,0.0224,3877600,0
2015/1/6,673.590027,4652.569824,17501.65,4652.569824,0.0382,3478335,0
2015/1/7,658.830017,4592.740234,17371.64,4592.740234,0.027,-34982081,1
2015/1/8,665.27002,4650.470215,17584.52,4650.470215,0.0321,1569649,1
2015/1/9,684.650024,4736.189941,17907.87,4736.189941,-0.0297,7258623,0
2015/1/12,685.52002,4704.069824,17737.37,4704.069824,0.0187,-33534292,0
2015/1/13,671.820007,4664.709961,17640.84,4664.709961,0.0172,-12808626,1
2015/1/14,665.580017,4661.5,17613.68,4661.5,-0.1784,-8102546,0
2015/1/15,661.650024,4639.319824,17427.09,4639.319824,-0.2547,-25556520,0
2015/1/16,656.51001,4570.819824,17320.71,4570.819824,0.272,204271,0
2015/1/20,663.859985,4634.379883,17511.57,4634.379883,-0.0136,18045999,1
2015/1/21,670.570007,4654.850098,17515.23,4654.850098,-0.0246,10776215,1
2015/1/22,678.159973,4667.419922,17554.28,4667.419922,0.0837,52280744,1
2015/1/23,682.47998,4750.399902,17813.98,4750.399902,0.0199,17313193,1
2015/1/26,680.539978,4757.879883,17672.6,4757.879883,-0.0023,53647433,1
2015/1/27,682.390015,4771.759766,17678.7,4771.759766,0.0678,22679917,1
2015/1/28,669.789978,4681.5,17387.21,4681.5,-0.022,32339586,0
2015/1/29,666.070007,4637.990234,17191.37,4637.990234,-0.1029,19341926,0
2015/1/30,666.630005,4683.410156,17416.85,4683.410156,-0.0092,-2162545,0
2015/2/2,653.140015,4635.240234,17164.95,4635.240234,-0.0092,-9226677,1
2015/2/3,653.140015,4676.689941,17361.04,4676.689941,0.0602,5017523,1
2015/2/4,666.929993,4727.740234,17666.4,4727.740234,-0.0479,5886151,1
2015/2/5,669.150024,4716.700195,17673.02,4716.700195,-0.0036,8003968,0
2015/2/6,675.690002,4765.100098,17884.88,4765.100098,-0.0444,-5328371,0
2015/2/9,671.840027,4744.399902,17824.29,4744.399902,0.0297,-855000,0
2015/2/10,664.539978,4726.009766,17729.21,4726.009766,-0.0149,-2630925,0
2015/2/11,687.030029,4787.640137,17868.76,4787.640137,-0.003,1566930,1
2015/2/12,689.25,4801.180176,17862.14,4801.180176,-0.0038,25187705,1
2015/2/13,700.190002,4857.609863,17972.38,4857.609863,0.0135,9523179,1
2015/2/24,705.080017,4893.839844,18019.35,4893.839844,0.0648,10662418,1
2015/2/25,716.119995,4968.120117,18209.19,4968.120117,0.0003,11660129,1
2015/2/26,711.98999,4967.140137,18224.57,4967.140137,-0.0065,22206017,0
2015/3/2,716.669983,4987.890137,18214.42,4987.890137,-0.0034,8161363,0
2015/3/3,734.51001,5008.100098,18288.63,5008.100098,0.0613,-5606574,1
2015/3/4,720.26001,4979.899902,18203.37,4979.899902,0.0252,860552,1
2015/3/5,719.539978,4967.140137,18096.9,4967.140137,-0.0311,2280344,0
