date,SOX_Open,SOX_High,SOX_Low,SOX_Close,SOX_Adj Close,SOX_Volume,S_P500_Open,S_P500_High,S_P500_Low,S_P500_Close,S_P500_Adj Close,S_P500_Volume,Dow Jones_Open,Dow Jones_High,Dow Jones_Low,Dow Jones_Close,Dow Jones_Adj Close,Dow Jones_Volume,Bitcoin_Close,Bitcoin_Open,Bitcoin_High,Bitcoin_Low,Bitcoin_Volume,Bitcoin_Change%,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Adj Close,NASDAQ_Volume,Dealer_Hedging_buy_tsmc,Dealer_Hedging_sell_tsmc,Dealer_Hedging_net(buy-sell)_tsmc,Dealer_self_buy_tsmc,Dealer_self_sell_tsmc,Dealer_self_net(buy-sell)_tsmc,Foreign_Investor_buy_tsmc,Foreign_Investor_sell_tsmc,Foreign_Investor_net(buy-sell)_tsmc,Investment_Trust_buy_tsmc,Investment_Trust_sell_tsmc,Investment_Trust_net(buy-sell)_tsmc,total_net_tsmc,TAIEX
2014/12/24,696.75,699,695.01001,696.349976,696.349976,0,4770.120117,4787.569824,4768.669922,4773.470215,4773.470215,729750000,18035.73,18086.24,18027.78,18030.21,18030.21,42870000,322.4,335.3,336.3,320.6,21.52K,-0.0383,4770.120117,4787.569824,4768.669922,4773.470215,4773.470215,729750000,34000,55000,-21000,70000,760000,-690000,10283000,7102000,3181000,0,182000,-182000,2288000,1
2014/12/26,698.059998,699.780029,695.909973,697,697,0,4788.060059,4814.950195,4787.850098,4806.859863,4806.859863,930220000,18038.3,18103.45,18038.3,18053.71,18053.71,52570000,330,319,332.9,316.4,23.01K,0.0345,4788.060059,4814.950195,4787.850098,4806.859863,4806.859863,930220000,27000,37000,-10000,68000,40000,28000,8518000,1394000,7124000,0,572000,-572000,6570000,1
2014/12/29,696.190002,696.619995,692.429993,695.080017,695.080017,0,4801.259766,4813.720215,4798.899902,4806.910156,4806.910156,1227740000,18046.58,18073.04,18021.57,18038.23,18038.23,53870000,314.1,316.5,321.6,308.3,20.36K,-0.0076,4801.259766,4813.720215,4798.899902,4806.910156,4806.910156,1227740000,242000,335000,-93000,125000,103000,22000,30217000,8217582,21999418,7000,802000,-795000,21133418,1
2014/12/30,692.320007,693.969971,690.690002,690.98999,690.98999,0,4793.609863,4803.890137,4772.879883,4777.439941,4777.439941,1269200000,18035.02,18035.02,17959.7,17983.07,17983.07,47490000,311.3,314.1,316.2,309.3,22.78K,-0.0091,4793.609863,4803.890137,4772.879883,4777.439941,4777.439941,1269200000,293000,40000,253000,260000,13000,247000,15242478,12811505,2430973,481000,475000,6000,2936973,0
2014/12/31,693.630005,696.820007,686.5,686.869995,686.869995,0,4790.529785,4806.430176,4734.109863,4736.049805,4736.049805,1515600000,17987.66,18043.22,17820.88,17823.07,17823.07,82840000,318.2,311.3,319.1,308.9,20.50K,0.0224,4790.529785,4806.430176,4734.109863,4736.049805,4736.049805,1515600000,67000,380000,-313000,50000,194000,-144000,12855000,7774400,5080600,0,746000,-746000,3877600,1
2015/1/5,683.570007,684.840027,673.429993,673.590027,673.590027,0,4700.339844,4702.77002,4641.459961,4652.569824,4652.569824,1794470000,17821.3,17821.3,17475.93,17501.65,17501.65,116160000,274.8,264.7,278.3,262.9,54.99K,0.0382,4700.339844,4702.77002,4641.459961,4652.569824,4652.569824,1794470000,907000,184000,723000,347000,525000,-178000,18957906,15272571,3685335,0,752000,-752000,3478335,0
2015/1/6,675.119995,675.140015,656.369995,658.830017,658.830017,0,4666.850098,4667.330078,4567.589844,4592.740234,4592.740234,2167320000,17504.18,17581.05,17262.37,17371.64,17371.64,101870000,282.3,274.8,285.1,271.5,21.94K,0.027,4666.850098,4667.330078,4567.589844,4592.740234,4592.740234,2167320000,1035000,179000,856000,2705000,254000,2451000,12723462,49800543,-37077081,45000,1257000,-1212000,-34982081,0
2015/1/7,660.419983,668.219971,658.75,665.27002,665.27002,0,4626.839844,4652.720215,4613.899902,4650.470215,4650.470215,1957950000,17374.78,17597.08,17374.78,17584.52,17584.52,91030000,291.3,282.3,296.1,280.7,30.67K,0.0321,4626.839844,4652.720215,4613.899902,4650.470215,4650.470215,1957950000,648000,202000,446000,1025000,85000,940000,26695305,25170656,1524649,538000,1879000,-1341000,1569649,1
2015/1/8,671.809998,686.200012,671.809998,684.650024,684.650024,0,4689.540039,4741.379883,4688.02002,4736.189941,4736.189941,2105450000,17591.97,17916.04,17591.97,17907.87,17907.87,114890000,282.7,291.3,292.7,279,20.18K,-0.0297,4689.540039,4741.379883,4688.02002,4736.189941,4736.189941,2105450000,242000,633000,-391000,50000,283000,-233000,26602770,18806147,7796623,143000,57000,86000,7258623,1
2015/1/9,685.940002,688.22998,676.820007,685.52002,685.52002,0,4744.470215,4744.709961,4681.240234,4704.069824,4704.069824,1715830000,17911.02,17915.32,17686.09,17737.37,17737.37,93390000,288,282.7,290.6,277.3,20.93K,0.0187,4744.470215,4744.709961,4681.240234,4704.069824,4704.069824,1715830000,1687000,324000,1363000,1382000,2758000,-1376000,13413000,45439292,-32026292,55000,1550000,-1495000,-33534292,0
2015/1/12,680.919983,681.400024,668.5,671.820007,671.820007,0,4714.069824,4715.810059,4650.649902,4664.709961,4664.709961,1861960000,17742.05,17793.88,17571.58,17640.84,17640.84,92500000,269.3,264.8,273.1,263.3,25.39K,0.0172,4714.069824,4715.810059,4650.649902,4664.709961,4664.709961,1861960000,347000,220000,127000,419000,248000,171000,7498013,17857639,-10359626,101000,2848000,-2747000,-12808626,0
2015/1/13,677.950012,685.289978,661.909973,665.580017,665.580017,0,4708.740234,4751.339844,4624.279785,4661.5,4661.5,2162180000,17645.02,17923.01,17498.23,17613.68,17613.68,99360000,221.3,269.3,269.1,217.1,95.50K,-0.1784,4708.740234,4751.339844,4624.279785,4661.5,4661.5,2162180000,173000,74000,99000,520000,60000,460000,19287435,27365981,-8078546,48000,631000,-583000,-8102546,1
2015/1/14,658.830017,668.330017,654.869995,661.650024,661.650024,0,4610.759766,4655.370117,4595.97998,4639.319824,4639.319824,2073810000,17609.06,17609.06,17264.9,17427.09,17427.09,109180000,164.9,221.3,230.9,157.3,170.68K,-0.2547,4610.759766,4655.370117,4595.97998,4639.319824,4639.319824,2073810000,208000,797000,-589000,511000,272000,239000,17065000,41858520,-24793520,37000,450000,-413000,-25556520,0
2015/1/15,667.26001,670.429993,655.859985,656.51001,656.51001,0,4657.459961,4663.959961,4567.390137,4570.819824,4570.819824,1976260000,17436.3,17517.41,17298.04,17320.71,17320.71,94520000,209.8,164.9,231.3,164.6,124.67K,0.272,4657.459961,4663.959961,4567.390137,4570.819824,4570.819824,1976260000,622000,221000,401000,637000,416000,221000,26074000,25996729,77271,703000,1198000,-495000,204271,0
2015/1/16,654.419983,664.619995,651.580017,663.859985,663.859985,0,4566.379883,4635.819824,4563.109863,4634.379883,4634.379883,1970520000,17320,17528.37,17243.55,17511.57,17511.57,140480000,206.9,209.8,222.6,198.7,62.32K,-0.0136,4566.379883,4635.819824,4563.109863,4634.379883,4634.379883,1970520000,1405000,535084,869916,1905000,1931000,-26000,83994739,71195656,12799083,4464000,61000,4403000,18045999,0
2015/1/20,666.73999,673.099976,662.190002,670.570007,670.570007,0,4655.839844,4665.649902,4601.100098,4654.850098,4654.850098,1835040000,17516.96,17588.7,17346.73,17515.23,17515.23,119600000,210.6,215.9,216.6,203.4,37.48K,-0.0246,4655.839844,4665.649902,4601.100098,4654.850098,4654.850098,1835040000,173000,217000,-44000,440000,135000,305000,22769000,12685785,10083215,522000,90000,432000,10776215,1
2015/1/21,667.539978,681.200012,666.73999,678.159973,678.159973,0,4641.950195,4692.459961,4629.589844,4667.419922,4667.419922,1847420000,17509.96,17599.58,17396.04,17554.28,17554.28,95530000,228.2,210.6,229.3,207.1,43.18K,0.0837,4641.950195,4692.459961,4629.589844,4667.419922,4667.419922,1847420000,179000,1232000,-1053000,155000,558000,-403000,69681910,15804166,53877744,119000,260000,-141000,52280744,1
2015/1/22,676.5,682.909973,664.919983,682.47998,682.47998,0,4690.930176,4752.600098,4644.569824,4750.399902,4750.399902,1996550000,17557.29,17840.89,17482.54,17813.98,17813.98,111980000,232.7,228.2,238.8,225.6,53.71K,0.0199,4690.930176,4752.600098,4644.569824,4750.399902,4750.399902,1996550000,113000,536000,-423000,425000,57000,368000,35197739,17730546,17467193,420000,519000,-99000,17313193,1
2015/1/23,679.179993,683.929993,677.059998,680.539978,680.539978,0,4748.189941,4771.180176,4737.950195,4757.879883,4757.879883,1653830000,17812.5,17812.5,17667.53,17672.6,17672.6,97110000,232.2,232.7,237,224.8,38.17K,-0.0023,4748.189941,4771.180176,4737.950195,4757.879883,4757.879883,1653830000,191000,617000,-426000,633000,619000,14000,67624322,14238889,53385433,737000,63000,674000,53647433,1
2015/1/26,677.559998,683.5,674.210022,682.390015,682.390015,0,4752.359863,4774.180176,4734.200195,4771.759766,4771.759766,1717510000,17668.11,17696.36,17567.6,17678.7,17678.7,87220000,269.2,252.1,310.9,251.5,105.71K,0.0678,4752.359863,4774.180176,4734.200195,4771.759766,4771.759766,1717510000,16000,440000,-424000,356000,189000,167000,41700000,18976083,22723917,295000,82000,213000,22679917,1
