date..t.,SOX_Close..t.1.,Dow.Jones_Close..t.1.,NASDAQ_Close..t.1.,Bitcoin_Change...t.1.,S_P_500_Close..t.1.,total_net_tsmc..t.1.,TAIEX..t.
2014/12/26,696.349976,18030.21,4773.470215,-0.0383,"2,088.77",2288000,1
2014/12/29,697,18053.71,4806.859863,0.0345,"2,090.57",6570000,0
2014/12/30,695.080017,18038.23,4806.910156,-0.0076,"2,080.35",21133418,1
2014/12/31,690.98999,17983.07,4777.439941,-0.0091,"2,058.90",2936973,0
2015/1/5,686.869995,17823.07,4736.049805,0.0224,"2,020.58",3877600,0
2015/1/6,673.590027,17501.65,4652.569824,0.0382,"2,002.61",3478335,1
2015/1/7,658.830017,17371.64,4592.740234,0.027,"2,025.90",-34982081,1
2015/1/8,665.27002,17584.52,4650.470215,0.0321,"2,062.14",1569649,0
2015/1/9,684.650024,17907.87,4736.189941,-0.0297,"2,044.81",7258623,0
2015/1/12,685.52002,17737.37,4704.069824,0.0187,"2,028.26",-33534292,1
2015/1/13,671.820007,17640.84,4664.709961,0.0172,"2,023.03",-12808626,0
2015/1/14,665.580017,17613.68,4661.5,-0.1784,"2,011.27",-8102546,0
2015/1/15,661.650024,17427.09,4639.319824,-0.2547,"1,992.67",-25556520,0
2015/1/16,656.51001,17320.71,4570.819824,0.272,"2,019.42",204271,1
2015/1/20,663.859985,17511.57,4634.379883,-0.0136,"2,022.55",18045999,1
2015/1/21,670.570007,17515.23,4654.850098,-0.0246,"2,032.12",10776215,1
2015/1/22,678.159973,17554.28,4667.419922,0.0837,"2,063.15",52280744,1
2015/1/23,682.47998,17813.98,4750.399902,0.0199,"2,051.82",17313193,1
2015/1/26,680.539978,17672.6,4757.879883,-0.0023,"2,057.09",53647433,1
2015/1/27,682.390015,17678.7,4771.759766,0.0678,"2,029.55",22679917,0
2015/1/28,669.789978,17387.21,4681.5,-0.022,"2,002.16",32339586,0
2015/1/29,666.070007,17191.37,4637.990234,-0.1029,"2,021.25",19341926,0
2015/1/30,666.630005,17416.85,4683.410156,-0.0092,"1,994.99",-2162545,1
2015/2/2,653.140015,17164.95,4635.240234,-0.0092,"2,020.85",-9226677,1
2015/2/3,653.140015,17361.04,4676.689941,0.0602,"2,050.03",5017523,1
2015/2/4,666.929993,17666.4,4727.740234,-0.0479,"2,041.51",5886151,0
2015/2/5,669.150024,17673.02,4716.700195,-0.0036,"2,062.52",8003968,0
2015/2/6,675.690002,17884.88,4765.100098,-0.0444,"2,055.47",-5328371,0
2015/2/9,671.840027,17824.29,4744.399902,0.0297,"2,046.74",-855000,0
2015/2/10,664.539978,17729.21,4726.009766,-0.0149,"2,068.59",-2630925,1
2015/2/11,687.030029,17868.76,4787.640137,-0.003,"2,068.53",1566930,1
2015/2/12,689.25,17862.14,4801.180176,-0.0038,"2,088.48",25187705,1
2015/2/13,700.190002,17972.38,4857.609863,0.0135,"2,096.99",9523179,1
2015/2/24,705.080017,18019.35,4893.839844,0.0648,"2,115.48",10662418,1
2015/2/25,716.119995,18209.19,4968.120117,3.00E-04,"2,113.86",11660129,0
2015/2/26,711.98999,18224.57,4967.140137,-0.0065,"2,110.74",22206017,0
2015/3/2,716.669983,18214.42,4987.890137,-0.0034,"2,117.39",8161363,1
2015/3/3,734.51001,18288.63,5008.100098,0.0613,"2,107.78",-5606574,1
2015/3/4,720.26001,18203.37,4979.899902,0.0252,"2,098.53",860552,0
2015/3/5,719.539978,18096.9,4967.140137,-0.0311,"2,101.04",2280344,1
2015/3/6,720.25,18135.72,4982.810059,0.0122,"2,071.26",1393783,0
2015/3/9,712.419983,17856.78,4927.370117,-0.0097,"2,079.43",-5147457,0
2015/3/10,715.030029,17995.72,4942.439941,0.0566,"2,044.16",-34068178,0
2015/3/11,701.299988,17662.94,4859.790039,0.0047,"2,040.24",-29503995,1
2015/3/12,703.159973,17635.39,4849.939941,0.0145,"2,065.95",-9634633,0
2015/3/13,702.77002,17895.22,4893.290039,-0.0059,"2,053.40",-2264341,0
2015/3/16,707.789978,17749.31,4871.759766,-0.0226,"2,081.19",-5926230,1
2015/3/17,718.530029,17977.42,4929.509766,0.0194,"2,074.28",-10712579,1
2015/3/18,713.190002,17849.08,4937.430176,-0.0173,"2,099.50",4090618,1
2015/3/19,718.47998,18076.19,4982.830078,-0.1032,"2,089.27",18957377,1
2015/3/20,720.200012,17959.03,4992.379883,0.0196,"2,108.10",3546365,1
2015/3/23,730.909973,18127.65,5026.419922,0.0033,"2,104.42",-934637,0
2015/3/24,723.960022,18116.04,5010.970215,-0.0116,"2,091.50",5954506,0
2015/3/25,717.780029,18011.14,4994.72998,-0.0706,"2,061.05",-4604505,0
2015/3/26,684.72998,17718.54,4876.52002,-0.0014,"2,056.15",-6535845,0
2015/3/27,675.23999,17678.23,4863.359863,0.0067,"2,061.02",-63061692,1
2015/3/30,694.320007,17712.66,4891.220215,-0.0033,"2,086.24",-66965466,1
2015/3/31,703.73999,17976.31,4947.439941,0.0195,"2,067.89",-34645594,0
2015/4/1,695.47998,17776.12,4900.879883,-0.0107,"2,059.69",-17012404,1
2015/4/2,691.190002,17698.18,4880.22998,0.0086,"2,066.96",-13720412,1
2015/4/7,689.169983,17763.24,4886.939941,0.0258,"2,076.33",2289077,0
2015/4/8,692.940002,17875.42,4910.22998,-0.0078,"2,081.90",-5704864,0
2015/4/9,697.450012,17902.51,4950.819824,-0.0332,"2,091.18",-11780640,1
2015/4/10,706.179993,17958.73,4974.560059,-0.0051,"2,102.06",-7733535,1
2015/4/13,709.049988,18057.65,4995.97998,-0.0353,"2,092.43",3063162,0
2015/4/14,704.52002,17977.04,4988.25,-0.052,"2,095.84",-9536040,0
2015/4/15,697.849976,18036.7,4977.290039,-0.025,"2,106.63",-23810711,1
2015/4/16,709.320007,18112.61,5011.02002,0.0228,"2,104.99",-37223399,0
2015/4/17,706.080017,18105.77,5007.790039,0.0225,"2,081.18",11955706,0
2015/4/20,696.090027,17826.3,4931.810059,-0.0236,"2,100.40",-39833495,0
2015/4/21,702.289978,18034.93,4994.600098,0.0055,"2,097.29",-9687039,1
