date..t.,Bitcoin_Change...t.1.,total_net_tsmc..t.1.,Dow.Jones_diff,NASDAQ_diff,S_P_500_diff,SOX_diff,TAIEX..t.
2014-12-26,-0.04,2288000,0.03,0.17,0.33,0.15,1
2014-12-29,0.03,6570000,0.13,0.7,0.09,0.09,0
2014-12-30,-0.01,21133418,-0.09,0,-0.49,-0.28,1
2014-12-31,-0.01,2936973,-0.31,-0.61,-1.03,-0.59,0
2015-01-05,0.02,3877600,-0.89,-0.87,-1.86,-0.6,0
2015-01-06,0.04,3478335,-1.8,-1.76,-0.89,-1.93,1
2015-01-07,0.03,-34982081,-0.74,-1.29,1.16,-2.19,1
2015-01-08,0.03,1569649,1.23,1.26,1.79,0.98,0
2015-01-09,-0.03,7258623,1.84,1.84,-0.84,2.91,0
2015-01-12,0.02,-33534292,-0.95,-0.68,-0.81,0.13,1
2015-01-13,0.02,-12808626,-0.54,-0.84,-0.26,-2,0
2015-01-14,-0.18,-8102546,-0.15,-0.07,-0.58,-0.93,0
2015-01-15,-0.25,-25556520,-1.06,-0.48,-0.92,-0.59,0
2015-01-16,0.27,204271,-0.61,-1.48,1.34,-0.78,1
2015-01-20,-0.01,18045999,1.1,1.39,0.15,1.12,1
2015-01-21,-0.02,10776215,0.02,0.44,0.47,1.01,1
2015-01-22,0.08,52280744,0.22,0.27,1.53,1.13,1
2015-01-23,0.02,17313193,1.48,1.78,-0.55,0.64,1
2015-01-26,0,53647433,-0.79,0.16,0.26,-0.28,1
2015-01-27,0.07,22679917,0.03,0.29,-1.34,0.27,0
2015-01-28,-0.02,32339586,-1.65,-1.89,-1.35,-1.85,0
2015-01-29,-0.1,19341926,-1.13,-0.93,0.95,-0.56,0
2015-01-30,-0.01,-2162545,1.31,0.98,-1.3,0.08,1
2015-02-02,-0.01,-9226677,-1.45,-1.03,1.3,-2.02,1
2015-02-03,0.06,5017523,1.14,0.89,1.44,0,1
2015-02-04,-0.05,5886151,1.76,1.09,-0.42,2.11,0
2015-02-05,0,8003968,0.04,-0.23,1.03,0.33,0
2015-02-06,-0.04,-5328371,1.2,1.03,-0.34,0.98,0
2015-02-09,0.03,-855000,-0.34,-0.43,-0.42,-0.57,0
2015-02-10,-0.01,-2630925,-0.53,-0.39,1.07,-1.09,1
2015-02-11,0,1566930,0.79,1.3,0,3.38,1
2015-02-12,0,25187705,-0.04,0.28,0.96,0.32,1
2015-02-13,0.01,9523179,0.62,1.18,0.41,1.59,1
2015-02-24,0.06,10662418,0.26,0.75,0.88,0.7,1
2015-02-25,0,11660129,1.05,1.52,-0.08,1.57,0
2015-02-26,-0.01,22206017,0.08,-0.02,-0.15,-0.58,0
2015-03-02,0,8161363,-0.06,0.42,0.32,0.66,1
2015-03-03,0.06,-5606574,0.41,0.41,-0.45,2.49,1
2015-03-04,0.03,860552,-0.47,-0.56,-0.44,-1.94,0
2015-03-05,-0.03,2280344,-0.58,-0.26,0.12,-0.1,1
2015-03-06,0.01,1393783,0.21,0.32,-1.42,0.1,0
2015-03-09,-0.01,-5147457,-1.54,-1.11,0.39,-1.09,0
2015-03-10,0.06,-34068178,0.78,0.31,-1.7,0.37,0
2015-03-11,0,-29503995,-1.85,-1.67,-0.19,-1.92,1
2015-03-12,0.01,-9634633,-0.16,-0.2,1.26,0.27,0
2015-03-13,-0.01,-2264341,1.47,0.89,-0.61,-0.06,0
2015-03-16,-0.02,-5926230,-0.82,-0.44,1.35,0.71,1
2015-03-17,0.02,-10712579,1.29,1.19,-0.33,1.52,1
2015-03-18,-0.02,4090618,-0.71,0.16,1.22,-0.74,1
2015-03-19,-0.1,18957377,1.27,0.92,-0.49,0.74,1
2015-03-20,0.02,3546365,-0.65,0.19,0.9,0.24,1
2015-03-23,0,-934637,0.94,0.68,-0.17,1.49,0
2015-03-24,-0.01,5954506,-0.06,-0.31,-0.61,-0.95,0
2015-03-25,-0.07,-4604505,-0.58,-0.32,-1.46,-0.85,0
2015-03-26,0,-6535845,-1.62,-2.37,-0.24,-4.6,0
2015-03-27,0.01,-63061692,-0.23,-0.27,0.24,-1.39,1
2015-03-30,0,-66965466,0.19,0.57,1.22,2.83,1
2015-03-31,0.02,-34645594,1.49,1.15,-0.88,1.36,0
2015-04-01,-0.01,-17012404,-1.11,-0.94,-0.4,-1.17,1
2015-04-02,0.01,-13720412,-0.44,-0.42,0.35,-0.62,1
2015-04-07,0.03,2289077,0.37,0.14,0.45,-0.29,0
2015-04-08,-0.01,-5704864,0.63,0.48,0.27,0.55,0
2015-04-09,-0.03,-11780640,0.15,0.83,0.45,0.65,1
2015-04-10,-0.01,-7733535,0.31,0.48,0.52,1.25,1
2015-04-13,-0.04,3063162,0.55,0.43,-0.46,0.41,0
2015-04-14,-0.05,-9536040,-0.45,-0.15,0.16,-0.64,0
2015-04-15,-0.02,-23810711,0.33,-0.22,0.51,-0.95,1
2015-04-16,0.02,-37223399,0.42,0.68,-0.08,1.64,0
2015-04-17,0.02,11955706,-0.04,-0.06,-1.13,-0.46,0
2015-04-20,-0.02,-39833495,-1.54,-1.52,0.92,-1.41,0
2015-04-21,0.01,-9687039,1.17,1.27,-0.15,0.89,1
2015-04-22,0.04,-8926154,-0.47,0.39,0.51,0.69,1
2015-04-23,0,184769,0.49,0.42,0.24,1.37,1
2015-04-24,0.01,17275933,0.11,0.41,0.23,-1.58,1
2015-04-27,-0.02,86627926,0.12,0.71,-0.41,-1.66,0
2015-04-28,0.05,25578798,-0.23,-0.63,0.28,0.34,0
2015-04-29,-0.01,13184855,0.4,-0.1,-0.37,0.02,0
2015-04-30,0,182516,-0.41,-0.63,-1.01,-0.58,1
2015-05-04,0.05,-14533583,-1.08,-1.64,1.39,-0.85,0
2015-05-05,0,-1523128,1.29,1.53,-1.18,2.58,0
2015-05-06,-0.01,-5886696,-0.79,-1.55,-0.45,-2.22,0
2015-05-07,-0.02,-4730238,-0.48,-0.4,0.38,-0.14,0
2015-05-08,0.03,-1407009,0.46,0.53,1.35,1.13,0
2015-05-11,0.03,-150058,1.49,1.17,-0.51,1,1
2015-05-12,0.01,4002001,-0.47,-0.2,-0.29,0.03,1
2015-05-13,0,-491170,-0.2,-0.35,-0.03,-0.87,0
2015-05-14,-0.02,3000505,-0.04,0.11,1.08,0.57,0
2015-05-15,0,-4226333,1.06,1.39,0.08,1.17,1
2015-05-18,0,563868,0.11,-0.05,0.3,0.17,1
2015-05-19,-0.02,-1782000,0.14,0.6,-0.06,0.99,0
2015-05-20,0,-2554972,0.07,-0.17,-0.09,-0.44,0
2015-05-21,0.01,-971793,-0.15,0.03,0.23,0.15,1
2015-05-22,0.01,-8085282,0,0.38,-0.22,0.55,1
2015-05-26,0.02,-9436901,-0.29,-0.03,-1.03,0.24,1
2015-05-27,0,769585,-1.04,-1.11,0.92,-0.76,1
