Accuracy,training_accuracy,validation_accuracy,test_accuracy,Precision,train_precision,validation_precision,test_precision,Recall,train_recall,validation_recall,test_recall
fold 1,0.55,0.52,0.5,fold 1,0.55,0.54,NaN,fold 1,0.86,0.88,0
fold 2,0.54,0.57,0.5,fold 2,0.54,0.61,0.5,fold 2,0.86,0.84,0.98
fold 3,0.55,0.49,0.5,fold 3,0.56,0.51,NaN,fold 3,0.85,0.76,0
fold 4,0.55,0.52,0.52,fold 4,0.56,0.53,0.51,fold 4,0.89,0.86,0.92
fold 5,0.55,0.51,0.5,fold 5,0.56,0.51,0.5,fold 5,0.89,0.91,1
ave.,0.55,0.52,0.5,ave.,0.55,0.54,NaN,ave.,0.87,0.85,0.58
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 ,Accuracy, , , ,Precision, , , ,Recall, , 
 ,0.03, , , ,0.48, , , ,0.74, , 
