Accuracy,training_accuracy,validation_accuracy,test_accuracy,Precision,train_precision,validation_precision,test_precision,Recall,train_recall,validation_recall,test_recall
fold 1,0.5,0.52,0.48,fold 1,0.54,0.58,0.48,fold 1,0.5,0.51,0.44
fold 2,0.48,0.55,0.48,fold 2,0.53,0.61,0.48,fold 2,0.49,0.53,0.48
fold 3,0.49,0.49,0.54,fold 3,0.54,0.52,0.54,fold 3,0.48,0.46,0.58
fold 4,0.49,0.56,0.52,fold 4,0.54,0.59,0.52,fold 4,0.49,0.53,0.52
fold 5,0.53,0.51,0.43,fold 5,0.57,0.55,0.41,fold 5,0.54,0.56,0.34
ave.,0.5,0.53,0.49,ave.,0.54,0.57,0.49,ave.,0.5,0.52,0.47
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 ,Accuracy, , , ,Precision, , , ,Recall, , 
 ,0.48, , , ,0.53, , , ,0.48, , 
