AUC,Training,Validation,Testing,Accuracy,Training.1,Validation.1,Testing.1,Precision,Training.2,Validation.2,Testing.2,Recall,Training.3,Validation.3,Testing.3
fold1,0.99,0.87,0.82,fold1,0.95,0.8,0.76,fold1,0.95,0.79,0.79,fold1,0.96,0.88,0.78
fold2,0.99,0.88,0.89,fold2,0.96,0.82,0.82,fold2,0.97,0.86,0.85,fold2,0.95,0.8,0.83
fold3,0.99,0.88,0.89,fold3,0.96,0.81,0.8,fold3,0.96,0.84,0.84,fold3,0.96,0.76,0.8
fold4,1,0.89,0.89,fold4,0.96,0.86,0.82,fold4,0.96,0.86,0.79,fold4,0.98,0.88,0.89
fold5,0.99,0.85,0.88,fold5,0.95,0.8,0.82,fold5,0.93,0.79,0.8,fold5,0.98,0.86,0.88
ave.,0.99,0.88,0.87,ave.,0.96,0.81,0.81,ave.,0.95,0.83,0.81,ave.,0.96,0.84,0.83
AUC,null_Training,null_Validation,null_Testing,Accuracy,null_Training.1,null_Validation.1,null_Testing.1,Precision,null_Training.2,null_Validation.2,null_Testing.2,Recall,null_Training.3,null_Validation.3,null_Testing.3
fold1,0.5,0.5,0.5,fold1,0.55,0.56,0.56,fold1,0.55,0.56,0.56,fold1,1,1,1
fold2,0.5,0.5,0.5,fold2,0.52,0.56,0.56,fold2,0.52,0.56,0.56,fold2,1,1,1
fold3,0.5,0.5,0.5,fold3,0.54,0.51,0.56,fold3,0.54,0.51,0.56,fold3,1,1,1
fold4,0.5,0.5,0.5,fold4,0.56,0.53,0.51,fold4,0.56,0.53,0.51,fold4,1,1,1
fold5,0.5,0.5,0.5,fold5,0.56,0.56,0.53,fold5,0.56,0.56,0.53,fold5,1,1,1
ave.,0.5,0.5,0.5,ave.,0.55,0.54,0.54,ave.,0.55,0.54,0.54,ave.,1,1,1
