AUC,Training,Validation,Testing,Accuracy,Training.1,Validation.1,Testing.1,Precision,Training.2,Validation.2,Testing.2,Recall,Training.3,Validation.3,Testing.3
fold1,1,0.86,0.88,fold1,0.98,0.8,0.78,fold1,0.98,0.79,0.77,fold1,0.98,0.88,0.86
fold2,1,0.87,0.87,fold2,0.99,0.8,0.8,fold2,0.99,0.79,0.84,fold2,0.99,0.85,0.81
fold3,1,0.9,0.87,fold3,0.98,0.82,0.79,fold3,0.97,0.8,0.78,fold3,1,0.88,0.85
fold4,1,0.9,0.89,fold4,0.99,0.82,0.82,fold4,0.99,0.82,0.8,fold4,1,0.88,0.86
fold5,1,0.91,0.87,fold5,0.98,0.84,0.79,fold5,0.98,0.83,0.8,fold5,1,0.89,0.84
ave.,1,0.89,0.88,ave.,0.99,0.81,0.8,ave.,0.98,0.8,0.8,ave.,0.99,0.87,0.84
AUC,null_Training,null_Validation,null_Testing,Accuracy,null_Training.1,null_Validation.1,null_Testing.1,Precision,null_Training.2,null_Validation.2,null_Testing.2,Recall,null_Training.3,null_Validation.3,null_Testing.3
fold1,0.5,0.5,0.55,fold1,0.48,0.46,0.47,fold1,0.54,0.54,0.51,fold1,0.49,0.49,0.46
fold2,0.5,0.49,0.47,fold2,0.47,0.49,0.49,fold2,0.52,0.53,0.57,fold2,0.52,0.51,0.49
fold3,0.5,0.43,0.52,fold3,0.51,0.49,0.54,fold3,0.54,0.52,0.57,fold3,0.51,0.49,0.53
fold4,0.49,0.49,0.49,fold4,0.5,0.48,0.54,fold4,0.54,0.52,0.56,fold4,0.49,0.49,0.57
fold5,0.51,0.47,0.51,fold5,0.53,0.42,0.51,fold5,0.58,0.46,0.56,fold5,0.54,0.43,0.45
ave.,0.5,0.48,0.51,ave.,0.5,0.47,0.51,ave.,0.54,0.51,0.56,ave.,0.51,0.48,0.5
