kernel,cost,error,dispersion
linear,0.2,0.456753639110135,0.0268532139020637
polynomial,0.2,0.456753639110135,0.0268532139020637
radial,0.2,0.456753639110135,0.0268532139020637
sigmoid,0.2,0.456753639110135,0.0268532139020637
linear,0.4,0.457356037718575,0.0259684839508881
polynomial,0.4,0.456753639110135,0.0268532139020637
radial,0.4,0.456753639110135,0.0268532139020637
sigmoid,0.4,0.456753639110135,0.0268532139020637
linear,0.6,0.471881351277122,0.0183836892142648
polynomial,0.6,0.456753639110135,0.0268532139020637
radial,0.6,0.456753639110135,0.0268532139020637
sigmoid,0.6,0.456753639110135,0.0268532139020637
linear,0.8,0.471879520278312,0.0192920572286977
polynomial,0.8,0.456753639110135,0.0268532139020637
radial,0.8,0.456753639110135,0.0268532139020637
sigmoid,0.8,0.456753639110135,0.0268532139020637
linear,1,0.471879520278312,0.0175582494547899
polynomial,1,0.456753639110135,0.0268532139020637
radial,1,0.456753639110135,0.0268532139020637
sigmoid,1,0.456753639110135,0.0268532139020637
linear,5,0.472483749885563,0.0162358903774172
polynomial,5,0.456753639110135,0.0268532139020637
radial,5,0.456753639110135,0.0268532139020637
sigmoid,5,0.456753639110135,0.0268532139020637
linear,10,0.472483749885563,0.0162358903774172
polynomial,10,0.456753639110135,0.0268532139020637
radial,10,0.456753639110135,0.0268532139020637
sigmoid,10,0.456753639110135,0.0268532139020637
linear,100,0.472483749885563,0.0162358903774172
polynomial,100,0.456753639110135,0.0268532139020637
radial,100,0.456753639110135,0.0268532139020637
sigmoid,100,0.456753639110135,0.0268532139020637
